,pl_name,hostname,pl_bmasse,pl_orbper,pl_orbsmax,st_mass
0,K2-157 b,K2-157,1.14,0.3652575,0.00962,0.89
1,K2-229 b,K2-229,2.59,0.584249,0.012888,0.837
2,HD 80653 b,HD 80653,5.6,0.719573,0.0166,1.18
3,HD 80653 b,HD 80653,5.72,0.719573,0.01661,1.18
4,55 Cnc e,55 Cnc,8.08,0.736539,0.01544,0.9
5,55 Cnc e,55 Cnc,8.63,0.73654,0.01583,0.963
6,55 Cnc e,55 Cnc,7.81,0.7365437,0.01544,0.905
7,55 Cnc e,55 Cnc,9.37593801,0.7365445,0.01583,0.974708
8,55 Cnc e,55 Cnc,8.37,0.736546,0.01583,0.9
9,55 Cnc e,55 Cnc,7.99,0.7365474,0.01544,0.905
10,55 Cnc e,55 Cnc,8.09479,0.7365478,0.015439,0.9
11,55 Cnc e,55 Cnc,8.13928,0.7365515,0.015690907,0.95
12,CoRoT-7 b,CoRoT-7,6.99226,0.853585,0.0169,0.884
13,CoRoT-7 b,CoRoT-7,21,0.853585,0.0172,0.93
14,CoRoT-7 b,CoRoT-7,4.8,0.853585,0.017,0.899
15,CoRoT-7 b,CoRoT-7,5.74,0.85359159,0.017016,0.913
16,CoRoT-7 b,CoRoT-7,4.73,0.85359165,0.017,0.899
17,EPIC 201595106 b,EPIC 201595106,7.67,0.87724,0.0177,0.958
18,HAT-P-23 b,HAT-P-23,658,1.21288287,0.02302,1.104
19,HAT-P-23 b,HAT-P-23,626.1251,1.21288287,0.0232,1.13
20,HAT-P-23 b,HAT-P-23,664.237,1.212884,0.0232,1.13
21,HAT-P-36 b,HAT-P-36,611.82275,1.3273466,0.02402,1.049
22,HAT-P-36 b,HAT-P-36,588.62116,1.32734683,0.02388,1.03
23,HAT-P-36 b,HAT-P-36,587.413406,1.32734683,0.0241,1.03
24,HAT-P-36 b,HAT-P-36,587.9855,1.327347,0.02382,1.022
25,HAT-P-36 b,HAT-P-36,582.24,1.327347,0.0238,1.022
26,CoRoT-1 b,CoRoT-1,359.1479,1.5089557,0.0261,1.03
27,CoRoT-1 b,CoRoT-1,390.9309,1.5089682,0.02752,1.22
28,CoRoT-1 b,CoRoT-1,327.3649,1.5089686,0.02536,0.95
29,CoRoT-14 b,CoRoT-14,2358.2986,1.51214,0.02691,1.13
30,CoRoT-14 b,CoRoT-14,2437.7561,1.51214,0.02687,1.125
31,CoRoT-14 b,CoRoT-14,2415.4,1.51214,0.027,1.13
32,GJ 1214 b,GJ 1214,8.17,1.58040433,0.0149,0.178
33,GJ 1214 b,GJ 1214,8.41,1.580404531,0.01505,0.182
34,GJ 1214 b,GJ 1214,6.261251,1.58040456,0.01411,0.15
35,Kepler-9 d,Kepler-9,8.41466053,1.59295975,0.0269056221,1.024
36,CoRoT-2 b,CoRoT-2,1150.5446,1.7429935,0.02854,1.018
37,CoRoT-2 b,CoRoT-2,1134.6531,1.7429935,0.02835,0.997
38,CoRoT-2 b,CoRoT-2,1102.82,1.7429935,0.02798,0.96
39,CoRoT-2 b,CoRoT-2,1048.839,1.74299673,0.0281,0.97
40,CoRoT-18 b,CoRoT-18,1102.82,1.9000693,0.0295,0.95
41,CoRoT-18 b,CoRoT-18,1039.3041,1.9000693,0.0286,0.861
42,CoRoT-18 b,CoRoT-18,1099.6918,1.9000693,0.0295,0.95
43,CoRoT-18 b,CoRoT-18,1048.839,1.90009,0.0288,0.88
44,GJ 876 d,GJ 876,7.53,1.93774,0.0208067,0.336778
45,GJ 876 d,GJ 876,6.83,1.93778,0.02080665,0.32
46,GJ 876 d,GJ 876,7.49,1.937848,0.02183911,0.37
47,GJ 876 d,GJ 876,7.4,1.93785,0.021,0.334
48,GJ 876 d,GJ 876,5.84804269,1.937916,0.02183,0.369607
49,GJ 876 d,GJ 876,8.06143677,1.938,0.021,0.336778
50,HAT-P-32 b,HAT-P-32,273.322,2.150008,0.0343,1.16
51,HAT-P-32 b,HAT-P-32,216.1244,2.1500082,0.03397,1.132
52,HAT-P-32 b,HAT-P-32,238.3725,2.15000825,0.03427,1.16
53,K2-216 b,K2-216,8,2.1748,0.028,0.7
54,HD 189733 b,HD 189733,371.85923619,2.218,0.031,0.84
55,HD 189733 b,HD 189733,369.63443734,2.218555,0.03126,0.827851
56,HD 189733 b,HD 189733,363.582,2.218573,0.03099,0.806
57,HD 189733 b,HD 189733,356.92309,2.2185752,0.031,0.806
58,HD 189733 b,HD 189733,365.5045,2.21857578,0.03142,0.84
59,HD 189733 b,HD 189733,370.58978,2.218577,0.03106,0.812
60,HD 189733 b,HD 189733,365.49,2.219,0.0313,0.82
61,GJ 436 b,GJ 436,23.1688,2.64385,0.02872,0.452
62,GJ 436 b,GJ 436,22.6603,2.64385,0.0285,0.44
63,GJ 436 b,GJ 436,21.6751,2.643859,0.0278,0.419868
64,GJ 436 b,GJ 436,22.1,2.64388312,0.0291,0.47
65,GJ 436 b,GJ 436,21.23093759,2.643892,0.02849,0.441167
66,GJ 436 b,GJ 436,23.424071,2.64389524,0.02887,0.459
67,GJ 436 b,GJ 436,25.4,2.64389803,0.0308,0.556
68,GJ 436 b,GJ 436,21.3891,2.643943,0.0278,0.419868
69,GJ 436 b,GJ 436,21.36,2.644,0.028,0.419868
70,GJ 436 b,GJ 436,21.294,2.6441,0.0278,0.41
71,GJ 3634 b,GJ 3634,8.4,2.64561,0.0287,0.45
