,Year:,Month:,County:,Vegetation Condition Index(VIC):,Pasture condition:,Browse condition:,Cattle body condition:,Goats body condition:,Current milk production:,Current cattle prices:,Current goats prices:,Livestock mortality:,Maize prices:,Distance from households to main water sources:,Distance from livestock grazing area to main water sources:,Terms of trade:,Children at risk of malnutrition:,Drought phase classification:,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,_tags,_index
0,2021.0,October,Baringo,Vegetation greenness Above normal,2.0,2.0,2.0,2.0,Below LTA,Above LTA,At LTA,No death of livestock reported,Above LTA,Above LTA,Above LTA,Below LTA,At LTA,Normal,245527865,ff4a50fb-8ae6-4a94-83a2-281d3e79c962,2021-12-26 12:20:48,,,submitted_via_web,,,1
1,2021.0,October,Mandera,Normal vegetation greenness,1.0,1.0,1.0,1.0,Below LTA,Below LTA,Below LTA,Death of livestock reported,Above LTA,Above LTA,Above LTA,Below LTA,Below LTA,Alarm,245529617,8183eae7-2557-431b-a027-17ed9beb9b17,2021-12-26 12:25:43,,,submitted_via_web,,,2
3,2021.0,October,Marsabit,Normal vegetation greenness,1.0,1.0,1.0,1.0,Below LTA,Below LTA,Below LTA,Death of livestock reported,Above LTA,Above LTA,Above LTA,Below LTA,Below LTA,Alarm,245532306,f359784a-69b5-4b98-9ee9-d84b0143b75e,2021-12-26 12:36:23,,,submitted_via_web,,,4
4,2021.0,October,Wajir,Normal vegetation greenness,1.0,1.0,1.0,1.0,Below LTA,Below LTA,At LTA,Death of livestock reported,Above LTA,Above LTA,Below LTA,,Below LTA,Alarm,245533188,83b132d7-2797-4bd8-a66d-6fdfdb4a5180,2021-12-26 12:41:24,,,submitted_via_web,,,5
5,2021.0,October,Samburu,Normal vegetation greenness,1.0,1.0,1.0,1.0,At LTA,Below LTA,Below LTA,Death of livestock reported,At LTA,Above LTA,Above LTA,Below LTA,Below LTA,Alert,245534037,d2e0ad81-d891-4635-adaa-864c2da8ec52,2021-12-26 12:45:04,,,submitted_via_web,,,6
6,2021.0,October,Garissa,Moderate vegetation deficit,1.0,1.0,1.0,1.0,Below LTA,At LTA,Below LTA,Death of livestock reported,Above LTA,At LTA,Above LTA,Above LTA,Above LTA,Alarm,245535133,0453dfe7-7b58-4656-8dc5-39b7d8cb0f4c,2021-12-26 12:48:30,,,submitted_via_web,,,7
7,2021.0,October,Isiolo,Moderate vegetation deficit,1.0,1.0,1.0,1.0,Below LTA,At LTA,At LTA,Death of livestock reported,Above LTA,Above LTA,Above LTA,Below LTA,Below LTA,Alarm,245535956,affddbe1-1873-4edd-b967-9a5542fc14d9,2021-12-26 12:52:29,,,submitted_via_web,,,8
8,2021.0,October,Tana river,Normal vegetation greenness,1.0,1.0,1.0,1.0,Below LTA,Above LTA,Above LTA,Death of livestock reported,At LTA,Above LTA,Above LTA,At LTA,Below LTA,Alarm,245537083,98fbec6e-da94-4598-883a-fdb25df40f08,2021-12-26 12:56:42,,,submitted_via_web,,,9
9,2021.0,October,Kajiado,Vegetation greenness Above normal,1.0,1.0,1.0,2.0,Below LTA,At LTA,Above LTA,No death of livestock reported,Above LTA,Above LTA,Above LTA,At LTA,Below LTA,Alert,245538512,3b94022a-522b-4dc2-99de-bede27ef5b1a,2021-12-26 13:00:53,,,submitted_via_web,,,10
10,2021.0,October,Laikipia,Normal vegetation greenness,1.0,2.0,1.0,2.0,Above LTA,Below LTA,Above LTA,Death of livestock reported,Above LTA,Above LTA,Above LTA,Below LTA,At LTA,Alert,245539446,2222d23c-1be4-4c88-9d6f-bcb48f443b2a,2021-12-26 13:04:51,,,submitted_via_web,,,11
11,2021.0,October,Tharaka nithi,Normal vegetation greenness,1.0,1.0,2.0,2.0,At LTA,Above LTA,Above LTA,No death of livestock reported,Above LTA,Below LTA,Above LTA,Below LTA,Below LTA,Alert,245540346,718764d3-224d-4af1-9772-a7f7b7afea0d,2021-12-26 13:09:03,,,submitted_via_web,,,12
12,2021.0,October,West pokot,Vegetation greenness Above normal,3.0,3.0,3.0,3.0,Above LTA,Above LTA,Above LTA,No death of livestock reported,At LTA,At LTA,At LTA,Above LTA,Below LTA,Normal,245541017,b2cc28b2-a04e-4f0f-849e-32f02e488137,2021-12-26 13:12:29,,,submitted_via_web,,,13
13,2021.0,October,Embu,Normal vegetation greenness,1.0,1.0,1.0,2.0,Below LTA,Below LTA,At LTA,No death of livestock reported,At LTA,Above LTA,Above LTA,Below LTA,At LTA,Alert,245541669,bdc8892d-2205-4c8d-a967-66d2f6852435,2021-12-26 13:15:57,,,submitted_via_web,,,14
14,2021.0,October,Kitui,Normal vegetation greenness,1.0,1.0,2.0,2.0,Below LTA,At LTA,Above LTA,No death of livestock reported,At LTA,At LTA,Below LTA,At LTA,Above LTA,Alarm,245542832,50903492-147d-454d-9e98-2b82e5b5bfdf,2021-12-26 13:20:09,,,submitted_via_web,,,15
